DateTime,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
2019-01-03 11:00:00,7994,7131,1351,188,1810,1870,1709,159,43
2019-01-03 12:00:00,7966,7148,1354,179,1853,1854,1697,168,42
2019-01-03 13:00:00,8025,7270,1365,187,1922,1872,1725,153,45
2019-01-03 14:00:00,7892,7204,1347,331,1801,1922,1645,114,43
2019-01-03 15:00:00,7873,7317,1347,470,1913,1860,1633,49,43
2019-01-03 16:00:00,8026,7356,1310,593,1909,1863,1633,5,42
2019-01-03 17:00:00,8474,7782,1305,672,2149,1916,1695,0,44
2019-01-03 18:00:00,8514,8006,1342,1351,1728,1930,1611,0,43
2019-01-03 19:00:00,8470,8261,1375,1790,1588,1887,1581,0,41
2019-01-03 20:00:00,8214,8419,1371,2153,1546,1880,1427,0,41
2019-01-03 21:00:00,7932,8477,1384,2293,1626,1883,1249,0,41
2019-01-03 22:00:00,7454,8495,1390,2379,1548,1887,1249,0,41
2019-01-03 23:00:00,6974,8071,1388,2516,1076,1829,1220,0,41
2019-01-04 00:00:00,6610,8023,1389,2620,982,1769,1221,0,40
2019-01-04 01:00:00,6406,7672,1394,2637,1000,1362,1236,0,42
2019-01-04 02:00:00,6372,7650,1398,2575,1055,1308,1270,0,42
2019-01-04 03:00:00,6237,7532,1395,2607,940,1297,1249,0,42
2019-01-04 04:00:00,6398,7690,1398,2672,1000,1305,1274,0,42
2019-01-04 05:00:00,6530,7782,1396,2715,1042,1308,1278,0,42
2019-01-04 06:00:00,6869,8063,1395,2704,1137,1333,1453,0,42
2019-01-04 07:00:00,7403,8269,1398,2637,1244,1429,1516,0,45
2019-01-04 08:00:00,7925,8713,1383,2508,1464,1705,1592,14,44
2019-01-04 09:00:00,8258,8858,1309,2436,1463,1899,1632,73,45
2019-01-04 10:00:00,8383,8956,1351,2422,1480,1902,1628,127,45
2019-01-04 11:00:00,8291,8876,1362,2469,1419,1899,1510,186,46
2019-01-04 12:00:00,8231,8738,1322,2533,1332,1890,1398,215,46
2019-01-04 13:00:00,8229,8544,1341,2514,1302,1828,1314,199,44
2019-01-04 14:00:00,8072,8342,1324,2257,1390,1843,1332,151,43
2019-01-04 15:00:00,8082,8120,1343,1839,1433,1897,1461,100,45
2019-01-04 16:00:00,8099,7876,1364,1515,1354,1898,1676,26,43
2019-01-04 17:00:00,8664,7909,1359,994,1850,1920,1740,1,44
2019-01-04 18:00:00,8729,7629,1382,629,1851,1989,1733,0,45
2019-01-04 19:00:00,8619,7516,1383,395,1887,2005,1804,0,42
2019-01-04 20:00:00,8343,7375,1383,344,1817,1998,1789,0,43
2019-01-04 21:00:00,8010,7367,1381,237,1902,2008,1795,0,43
2019-01-04 22:00:00,7417,7077,1382,143,1735,2003,1772,0,42
2019-01-04 23:00:00,7065,7147,1382,108,1805,2013,1796,0,41
2019-01-05 00:00:00,6720,6832,1382,87,1586,1983,1750,0,41
2019-01-05 01:00:00,6496,6333,1391,52,1138,1972,1740,0,41
2019-01-05 02:00:00,6373,6228,1391,58,1082,1961,1693,0,42
2019-01-05 03:00:00,6317,6229,1392,119,1028,1960,1688,0,42
2019-01-05 04:00:00,6398,6292,1395,153,1136,1905,1661,0,41
2019-01-05 05:00:00,6414,6292,1394,128,1152,1908,1668,0,41
2019-01-05 06:00:00,6656,6367,1393,137,1189,1903,1702,0,42
2019-01-05 07:00:00,6977,6364,1394,206,1134,1897,1688,0,44
2019-01-05 08:00:00,7362,6250,1392,309,1146,1681,1650,27,44
2019-01-05 09:00:00,7605,6540,1393,324,1101,1899,1627,149,44
2019-01-05 10:00:00,7766,6804,1395,316,1204,1903,1647,296,43
2019-01-05 11:00:00,7763,7009,1390,292,1277,1900,1700,407,43
2019-01-05 12:00:00,7778,7083,1395,287,1268,1904,1738,447,42
2019-01-05 13:00:00,7649,6981,1393,345,1164,1900,1719,416,42
2019-01-05 14:00:00,7511,6884,1395,569,996,1895,1662,325,42
2019-01-05 15:00:00,7567,6786,1395,601,1149,1904,1543,150,42
2019-01-05 16:00:00,7904,6925,1394,581,1258,1918,1722,9,42
2019-01-05 17:00:00,8408,7430,1395,821,1461,1984,1726,0,43
2019-01-05 18:00:00,8525,7591,1395,1377,1319,1865,1592,0,43
2019-01-05 19:00:00,8482,7557,1393,1591,1535,1562,1434,0,41
2019-01-05 20:00:00,8226,7533,1393,1666,1429,1562,1441,0,40
2019-01-05 21:00:00,7893,7298,1396,1632,1246,1560,1435,0,42
2019-01-05 22:00:00,7341,7201,1394,1650,1083,1604,1429,0,41
2019-01-05 23:00:00,6983,7260,1400,1807,1008,1628,1376,0,40
2019-01-06 00:00:00,6665,7169,1399,1864,964,1511,1389,0,40
2019-01-06 01:00:00,6441,6822,1395,1652,1011,1296,1429,0,39
2019-01-06 02:00:00,6297,6798,1396,1485,1082,1333,1463,0,40
2019-01-06 03:00:00,6168,6671,1396,1427,962,1364,1484,0,39
2019-01-06 04:00:00,6260,6531,1397,1358,910,1300,1528,0,37
2019-01-06 05:00:00,6244,6367,1396,972,1122,1425,1412,0,40
2019-01-06 06:00:00,6341,6191,1398,627,1207,1495,1424,0,40
2019-01-06 07:00:00,6649,6134,1401,504,1100,1507,1580,0,42
2019-01-06 08:00:00,6812,6300,1398,390,1149,1721,1598,1,41
2019-01-06 09:00:00,7087,6561,1393,327,1185,1885,1704,24,42
2019-01-06 10:00:00,7161,6694,1397,287,1262,1894,1735,71,46
2019-01-06 11:00:00,7074,6833,1398,385,1194,1940,1755,114,47
2019-01-06 12:00:00,7129,7009,1394,548,1160,1969,1754,132,50
2019-01-06 13:00:00,7211,7225,1397,770,1158,1970,1763,113,52
2019-01-06 14:00:00,6997,7243,1392,1109,984,1926,1702,75,53
2019-01-06 15:00:00,7095,7442,1396,1646,980,1726,1603,34,53
2019-01-06 16:00:00,7307,7471,1400,2093,1003,1514,1405,3,52
2019-01-06 17:00:00,7851,7567,1396,2368,833,1513,1404,0,53
2019-01-06 18:00:00,7992,7677,1394,2321,992,1524,1393,0,51
2019-01-06 19:00:00,7955,7791,1394,2337,1071,1533,1407,0,49
2019-01-06 20:00:00,7810,7744,1394,2263,1074,1534,1429,0,50
2019-01-06 21:00:00,7593,7888,1394,2241,1204,1545,1452,0,51
2019-01-06 22:00:00,7202,7740,1394,2208,1139,1531,1415,0,52
2019-01-06 23:00:00,6800,7614,1395,2207,985,1547,1429,0,51
2019-01-07 00:00:00,6512,7584,1396,2159,974,1552,1453,0,50
2019-01-07 01:00:00,6270,7019,1392,2222,615,1348,1391,0,50
2019-01-07 02:00:00,6172,6989,1393,2190,663,1290,1403,0,50
2019-01-07 03:00:00,6228,7078,1392,2191,730,1292,1424,0,48
2019-01-07 04:00:00,6280,7147,1395,2218,746,1294,1445,0,49
2019-01-07 05:00:00,6588,7208,1396,2187,819,1297,1460,0,47
2019-01-07 06:00:00,7054,7067,1394,2220,735,1310,1358,0,48
2019-01-07 07:00:00,7723,7471,1396,2245,950,1458,1367,0,54
2019-01-07 08:00:00,8410,7843,1394,2207,1118,1552,1511,2,57
2019-01-07 09:00:00,8721,8070,1345,2283,1280,1556,1508,40,57
2019-01-07 10:00:00,8743,8253,1329,2359,1240,1639,1527,102,55
2019-01-07 11:00:00,8646,8215,1341,2449,1112,1647,1432,178,55
2019-01-07 12:00:00,8583,8196,1345,2368,1148,1649,1418,213,53
2019-01-07 13:00:00,8686,8254,1358,2337,1177,1678,1432,215,55
2019-01-07 14:00:00,8385,8112,1363,2305,1147,1652,1394,194,56
2019-01-07 15:00:00,8410,8086,1376,2367,1137,1652,1377,119,57
2019-01-07 16:00:00,8382,7907,1329,2314,1126,1657,1393,30,57
2019-01-07 17:00:00,8910,8245,1366,2309,1328,1750,1437,0,54
2019-01-07 18:00:00,8992,8241,1383,2399,1317,1724,1361,0,56
2019-01-07 19:00:00,8975,8195,1384,2422,1417,1509,1410,0,54
2019-01-07 20:00:00,8795,8092,1387,2519,1277,1480,1375,0,54
2019-01-07 21:00:00,8501,8062,1386,2439,1277,1495,1411,0,54
2019-01-07 22:00:00,7859,7598,1384,2349,922,1495,1391,0,55
2019-01-07 23:00:00,7369,7331,1386,2200,731,1512,1448,0,54
2019-01-08 00:00:00,7106,7352,1384,1988,976,1524,1427,0,53
2019-01-08 01:00:00,6951,7593,1387,1987,907,1716,1540,0,55
2019-01-08 02:00:00,6890,7726,1392,1848,851,1866,1710,0,57
2019-01-08 03:00:00,6839,7602,1393,1573,902,1856,1820,0,57
2019-01-08 04:00:00,6890,7539,1394,1296,982,1894,1915,0,57
2019-01-08 05:00:00,7084,7386,1392,1170,1006,1945,1816,0,58
2019-01-08 06:00:00,7588,7312,1393,1005,1126,1941,1789,0,58
2019-01-08 07:00:00,8433,7787,1390,1183,1320,1890,1941,0,61
2019-01-08 08:00:00,9170,7629,1395,1314,1286,1699,1847,23,63
2019-01-08 09:00:00,9465,8054,1392,950,1613,1914,1998,125,62
2019-01-08 10:00:00,9422,8080,1394,694,1650,1979,2071,228,62
2019-01-08 11:00:00,9354,8102,1393,554,1697,1991,2094,312,61
2019-01-08 12:00:00,9131,7992,1383,379,1703,1999,2091,373,61
2019-01-08 13:00:00,9101,7945,1384,296,1717,2003,2112,371,60
2019-01-08 14:00:00,8873,7833,1383,339,1618,2012,2111,307,62
2019-01-08 15:00:00,8826,7712,1387,405,1653,2020,2008,173,65
2019-01-08 16:00:00,8933,7744,1386,510,1765,2020,1958,42,62
2019-01-08 17:00:00,9394,8029,1392,651,1939,2018,1965,0,63
2019-01-08 18:00:00,9437,8182,1390,905,1859,2015,1951,0,62
2019-01-08 19:00:00,9318,8222,1392,969,1820,2007,1974,0,60
2019-01-08 20:00:00,9123,8370,1390,935,1962,2006,2017,0,59
2019-01-08 21:00:00,8677,8152,1393,870,1820,2038,1970,0,60
2019-01-08 22:00:00,7939,7946,1392,1002,1500,2047,1943,0,63
2019-01-08 23:00:00,7494,7740,1395,1290,1006,2046,1940,0,63
2019-01-09 00:00:00,7136,7686,1395,1436,909,1959,1923,0,62
2019-01-09 01:00:00,6999,7577,1393,1341,909,1952,1920,0,62
2019-01-09 02:00:00,6884,7370,1394,1193,967,1953,1802,0,61
2019-01-09 03:00:00,6898,7244,1394,1219,979,1939,1651,0,63
2019-01-09 04:00:00,6855,7088,1392,1019,957,1942,1716,0,62
2019-01-09 05:00:00,7064,7240,1391,924,972,1951,1942,0,61
2019-01-09 06:00:00,7546,7386,1395,892,1052,2002,1983,0,60
2019-01-09 07:00:00,8505,7945,1393,876,1537,2045,2030,0,63
2019-01-09 08:00:00,8951,8022,1392,878,1557,2043,2075,13,64
2019-01-09 09:00:00,9220,7993,1360,874,1516,2039,2062,75,65
2019-01-09 10:00:00,9208,7976,1277,724,1593,2043,2087,188,63
2019-01-09 11:00:00,9163,7980,1293,487,1739,2001,2138,256,64
2019-01-09 12:00:00,9099,7816,1346,284,1744,1996,2104,276,64
2019-01-09 13:00:00,8995,7844,1355,295,1709,2033,2132,253,65
2019-01-09 14:00:00,8930,7889,1358,311,1849,2017,2136,159,58
2019-01-09 15:00:00,8751,7644,1374,493,1597,1989,2057,72,60
2019-01-09 16:00:00,8874,7867,1382,561,1727,2001,2122,10,63
2019-01-09 17:00:00,9298,8186,1383,462,2066,2024,2187,0,63
2019-01-09 18:00:00,9384,8333,1385,396,2313,2004,2172,0,63
2019-01-09 19:00:00,9266,8408,1386,498,2209,2009,2244,0,61
2019-01-09 20:00:00,8973,8445,1387,649,2129,2003,2217,0,60
2019-01-09 21:00:00,8498,8416,1382,855,1860,2043,2215,0,60
2019-01-09 22:00:00,7945,8455,1380,1139,1643,2005,2227,0,61
2019-01-09 23:00:00,7566,8355,1381,1327,1326,2006,2255,0,59
2019-01-10 00:00:00,7229,8117,1389,1482,1023,1932,2231,0,58
2019-01-10 01:00:00,6990,8013,1394,1720,1081,1529,2231,0,57
2019-01-10 02:00:00,6941,8011,1394,1806,973,1530,2250,0,57
2019-01-10 03:00:00,6886,8010,1395,1959,860,1521,2218,0,57
2019-01-10 04:00:00,6916,8029,1397,2115,884,1499,2075,0,57
2019-01-10 05:00:00,7148,8260,1396,1994,1104,1484,2224,0,58
2019-01-10 06:00:00,7651,8474,1396,1759,1364,1591,2305,0,59
2019-01-10 07:00:00,8386,8415,1395,1559,1513,1611,2273,0,63
2019-01-10 08:00:00,8897,8627,1395,1100,1881,1909,2275,0,65
2019-01-10 09:00:00,9278,8586,1348,881,2071,1994,2221,13,58
2019-01-10 10:00:00,9378,8587,1347,694,2182,2031,2239,28,65
2019-01-10 11:00:00,9195,8293,1348,495,2034,2032,2267,50,65
2019-01-10 12:00:00,9245,8182,1340,279,2168,2019,2247,66,62
2019-01-10 13:00:00,9071,8066,1347,342,2041,2016,2158,96,64
2019-01-10 14:00:00,8924,7857,1368,353,1815,2012,2177,70,65
2019-01-10 15:00:00,8856,7848,1376,362,1762,2019,2226,36,64
2019-01-10 16:00:00,8992,7898,1361,428,1781,2027,2233,3,64
2019-01-10 17:00:00,9373,8159,1359,493,2029,2023,2190,0,64
2019-01-10 18:00:00,9440,8170,1382,393,2020,2021,2288,0,65
2019-01-10 19:00:00,9354,8008,1383,402,1901,2023,2232,0,67
2019-01-10 20:00:00,9121,7903,1381,428,1764,2023,2240,0,67
2019-01-10 21:00:00,8774,7856,1380,395,1720,2020,2275,0,66
2019-01-10 22:00:00,8085,7695,1382,332,1639,2012,2264,0,64
2019-01-10 23:00:00,7405,7313,1384,447,1170,2012,2237,0,63
2019-01-11 00:00:00,7290,7587,1383,447,1387,2009,2301,0,60
2019-01-11 01:00:00,7034,6969,1388,436,1301,1565,2218,0,61
2019-01-11 02:00:00,7028,6954,1391,399,1222,1582,2299,0,60
2019-01-11 03:00:00,6891,6937,1391,358,1250,1571,2307,0,60
2019-01-11 04:00:00,7023,7134,1388,388,1397,1566,2335,0,61
2019-01-11 05:00:00,7133,7461,1390,706,1430,1566,2309,0,60
2019-01-11 06:00:00,7511,7432,1390,958,1161,1577,2283,0,63
2019-01-11 07:00:00,8330,8037,1389,1394,1275,1635,2280,0,64
2019-01-11 08:00:00,8948,8498,1386,1729,1264,1767,2288,0,63
2019-01-11 09:00:00,9305,8863,1375,1794,1394,1928,2302,3,65
2019-01-11 10:00:00,9337,8998,1374,1842,1454,1927,2326,9,65
2019-01-11 11:00:00,9281,9011,1377,1936,1375,1919,2307,30,65
2019-01-11 12:00:00,9162,8853,1343,1747,1397,1922,2323,55,64
2019-01-11 13:00:00,9082,8610,1356,1377,1398,1986,2357,69,65
2019-01-11 14:00:00,8905,8531,1374,1121,1554,2009,2340,65,65
2019-01-11 15:00:00,8672,8298,1382,947,1537,2016,2312,41,62
2019-01-11 16:00:00,8772,8142,1382,754,1629,2020,2289,6,62
2019-01-11 17:00:00,9294,8144,1379,658,1670,2024,2348,0,63
2019-01-11 18:00:00,9287,8122,1382,801,1527,2028,2319,0,64
2019-01-11 19:00:00,9123,7805,1383,718,1332,2026,2280,0,64
2019-01-11 20:00:00,8935,7618,1382,497,1375,1960,2343,0,61
2019-01-11 21:00:00,8563,7545,1385,349,1448,1947,2354,0,62
2019-01-11 22:00:00,7834,7169,1383,218,1309,1947,2251,0,61
2019-01-11 23:00:00,7448,7008,1381,143,1187,1947,2289,0,60
2019-01-12 00:00:00,7098,6928,1382,57,1157,1949,2324,0,58
2019-01-12 01:00:00,6929,6751,1382,69,1052,1932,2257,0,58
2019-01-12 02:00:00,6765,6719,1383,155,948,1926,2249,0,58
2019-01-12 03:00:00,6678,6706,1391,323,839,1912,2184,0,57
2019-01-12 04:00:00,6670,6849,1388,511,812,1906,2173,0,57
2019-01-12 05:00:00,6792,7015,1390,540,1061,1828,2139,0,56
2019-01-12 06:00:00,7007,7134,1390,700,983,1918,2085,0,57
2019-01-12 07:00:00,7440,7188,1390,736,968,1904,2131,0,59
2019-01-12 08:00:00,7878,7361,1392,803,982,1785,2335,5,58
2019-01-12 09:00:00,8290,8073,1386,872,1309,2020,2384,42,58
2019-01-12 10:00:00,8412,8353,1390,1173,1326,2008,2289,106,58
2019-01-12 11:00:00,8372,8397,1391,1655,935,1969,2228,160,58
2019-01-12 12:00:00,8305,8458,1392,1747,954,1911,2186,211,58
2019-01-12 13:00:00,8202,8369,1389,1704,895,1900,2183,240,56
2019-01-12 14:00:00,8013,8244,1390,1590,993,1908,2085,219,58
2019-01-12 15:00:00,8008,8183,1390,1405,1067,1912,2232,117,58
2019-01-12 16:00:00,8184,8089,1389,1259,1082,1917,2365,18,57
2019-01-12 17:00:00,8751,8469,1389,1174,1455,2019,2372,0,60
2019-01-12 18:00:00,8896,8497,1389,1125,1572,2015,2339,0,58
2019-01-12 19:00:00,8697,8221,1387,994,1392,2010,2379,0,57
2019-01-12 20:00:00,8443,7997,1389,766,1358,2013,2412,0,59
2019-01-12 21:00:00,8079,7760,1382,650,1257,2009,2405,0,56
2019-01-12 22:00:00,7639,7535,1381,427,1166,2011,2493,0,56
2019-01-12 23:00:00,7202,7333,1383,277,1063,2018,2537,0,55
2019-01-13 00:00:00,6806,6996,1383,325,954,2006,2272,0,55
2019-01-13 01:00:00,6598,6563,1389,291,1009,1567,2253,0,55
2019-01-13 02:00:00,6468,6387,1391,182,951,1576,2231,0,55
2019-01-13 03:00:00,6447,6355,1391,145,958,1575,2232,0,54
2019-01-13 04:00:00,6432,6344,1389,153,944,1574,2230,0,54
2019-01-13 05:00:00,6589,6401,1389,100,1064,1577,2216,0,56
2019-01-13 06:00:00,6699,6363,1390,154,999,1588,2177,0,54
2019-01-13 07:00:00,6888,6401,1390,159,984,1607,2206,0,55
2019-01-13 08:00:00,7112,6417,1388,162,914,1747,2140,9,55
2019-01-13 09:00:00,7424,6920,1390,144,1027,1995,2236,69,58
2019-01-13 10:00:00,7481,7056,1390,163,1080,2015,2202,148,57
2019-01-13 11:00:00,7424,7234,1391,190,1206,2019,2199,172,57
2019-01-13 12:00:00,7411,7225,1390,246,1191,1938,2134,268,58
2019-01-13 13:00:00,7262,6935,1391,286,970,1919,2082,228,57
2019-01-13 14:00:00,7028,6836,1392,352,990,1737,2152,157,55
2019-01-13 15:00:00,7223,7012,1391,386,1058,1819,2236,68,55
2019-01-13 16:00:00,7572,7198,1394,463,1138,1873,2268,5,56
2019-01-13 17:00:00,7784,7190,1390,533,1143,1895,2174,0,56
2019-01-13 18:00:00,8208,7573,1394,772,1205,2008,2140,0,55
2019-01-13 19:00:00,8223,7613,1392,739,1258,2017,2151,0,55
2019-01-13 20:00:00,8033,7584,1391,759,1219,2015,2145,0,55
2019-01-13 21:00:00,7707,7582,1389,813,1173,2019,2134,0,55
2019-01-13 22:00:00,7253,7591,1392,907,1180,1987,2071,0,55
2019-01-13 23:00:00,6855,7408,1392,1031,1019,1927,1986,0,53
2019-01-14 00:00:00,6637,7342,1391,1136,1045,1927,1791,0,53
2019-01-14 01:00:00,6417,6774,1389,1236,858,1582,1655,0,53
2019-01-14 02:00:00,6328,6688,1391,1250,922,1506,1565,0,53
2019-01-14 03:00:00,6364,6507,1390,1218,803,1497,1545,0,52
2019-01-14 04:00:00,6454,6526,1392,1222,687,1508,1664,0,53
2019-01-14 05:00:00,6772,6837,1391,1434,671,1487,1801,0,53
2019-01-14 06:00:00,7653,7552,1392,1668,936,1571,1929,0,56
2019-01-14 07:00:00,8565,8298,1389,1803,1492,1619,1933,0,60
2019-01-14 08:00:00,9055,8478,1393,1890,1409,1796,1911,17,59
2019-01-14 09:00:00,9313,8575,1360,1817,1318,1992,1949,78,59
2019-01-14 10:00:00,9256,8485,1340,1656,1355,1996,1958,122,58
2019-01-14 11:00:00,9047,8328,1334,1458,1349,1994,1949,185,57
2019-01-14 12:00:00,8898,8226,1340,1461,1205,1965,1916,276,60
2019-01-14 13:00:00,8798,8130,1353,1455,1249,1886,1847,279,60
2019-01-14 14:00:00,8681,8190,1353,1538,1254,1879,1867,237,61
2019-01-14 15:00:00,8508,8212,1359,1884,1066,1887,1792,162,61
2019-01-14 16:00:00,8618,8319,1319,2251,1132,1923,1596,41,55
2019-01-14 17:00:00,9111,8375,1334,2220,1239,1943,1577,0,60
2019-01-14 18:00:00,9164,8524,1376,2292,1476,1723,1595,0,61
2019-01-14 19:00:00,9077,8414,1378,2102,1591,1653,1628,0,60
2019-01-14 20:00:00,8808,8334,1376,1659,1569,1966,1702,0,60
2019-01-14 21:00:00,8262,8119,1375,1481,1397,1969,1835,0,61
2019-01-14 22:00:00,7648,7913,1380,1405,1181,1998,1886,0,62
2019-01-14 23:00:00,7258,7746,1377,1288,1067,1987,1967,0,60
2019-01-15 00:00:00,6922,7611,1375,1254,1087,1971,1864,0,59
2019-01-15 01:00:00,6738,7211,1375,997,918,1937,1922,0,62
2019-01-15 02:00:00,6546,6985,1385,860,827,1922,1930,0,61
2019-01-15 03:00:00,6532,6926,1388,927,700,1931,1919,0,61
2019-01-15 04:00:00,6669,6962,1388,880,846,1953,1835,0,60
2019-01-15 05:00:00,6926,7149,1388,1016,859,1964,1860,0,61
2019-01-15 06:00:00,7684,7691,1388,1325,971,1981,1967,0,58
2019-01-15 07:00:00,8536,8140,1391,1644,1316,1829,1904,0,55
2019-01-15 08:00:00,8980,8282,1388,2240,1346,1558,1686,12,52
2019-01-15 09:00:00,9273,8402,1387,2295,1405,1490,1716,54,52
2019-01-15 10:00:00,9230,8333,1388,2278,1327,1480,1686,115,57
2019-01-15 11:00:00,8959,8116,1385,1989,1268,1519,1693,197,64
2019-01-15 12:00:00,8804,8072,1377,1838,1224,1618,1691,260,62
2019-01-15 13:00:00,8797,8049,1369,1707,1238,1650,1728,293,64
2019-01-15 14:00:00,8656,7941,1356,1494,1176,1837,1742,270,65
2019-01-15 15:00:00,8546,7813,1380,1219,1161,2015,1806,165,65
2019-01-15 16:00:00,8683,7795,1391,1197,1137,2067,1893,44,65
2019-01-15 17:00:00,9095,8178,1391,1450,1160,2141,1959,12,63
2019-01-15 18:00:00,9267,8454,1390,1874,1278,1968,1879,0,63
2019-01-15 19:00:00,9143,8258,1391,1969,1282,1774,1779,0,63
2019-01-15 20:00:00,8926,8243,1392,1739,1506,1781,1758,0,65
2019-01-15 21:00:00,8524,8290,1391,1630,1408,2078,1719,0,64
2019-01-15 22:00:00,7933,8023,1389,1608,1249,2002,1713,0,63
2019-01-15 23:00:00,7374,7721,1397,1439,1128,1938,1756,0,61
2019-01-16 00:00:00,7038,7516,1391,1433,922,2035,1674,0,60
2019-01-16 01:00:00,6798,6870,1394,1450,878,1501,1585,0,61
2019-01-16 02:00:00,6755,6922,1393,1517,834,1522,1596,0,61
2019-01-16 03:00:00,6778,6957,1390,1330,960,1528,1679,0,60
2019-01-16 04:00:00,6776,6985,1395,1232,932,1573,1791,0,60
2019-01-16 05:00:00,7027,7278,1394,1719,805,1561,1737,0,61
2019-01-16 06:00:00,7724,7574,1393,1966,897,1516,1738,0,63
2019-01-16 07:00:00,8578,8264,1394,2141,1407,1531,1728,0,63
2019-01-16 08:00:00,8948,8338,1392,2187,1328,1697,1661,7,64
2019-01-16 09:00:00,9211,8597,1379,2161,1371,1886,1690,46,63
2019-01-16 10:00:00,9252,8599,1350,2122,1337,1910,1696,119,63
2019-01-16 11:00:00,9059,8529,1362,2297,1200,1802,1596,206,64
